Sample	SNPClass	Sample	TgtRegionSize	TN	FN	TP	FP	Fscore	Sensitivity-Recall	Specificity	FDR	PPV	Precision	AltId	CmpFootprint	AllVarMeanDP	CovBin	Aligner	SNVCaller
I1-5x_HG006_grapev2_0-sent-sentd-DEL_gt50	DEL_gt50	I1-5x_HG006_grapev2_0	2518942743.0	2518942742.0	1.0	0.0	59.0		0.0	0.9999999765774753	1.0	0.0	0.0	HG006	giabHC	-1.0	-2.0	sent	sentd
I1-5x_HG006_grapev2_0-sent-sentd-INS_50	INS_50	I1-5x_HG006_grapev2_0	2518942743.0	2518735949.0	120829.0	85965.0	4100.0	0.579163845461987	0.4157035503931449	0.9999983722020057	0.045522678065841336	0.9544773219341587	0.9544773219341587	HG006	giabHC	-1.0	-2.0	sent	sentd
I1-5x_HG006_grapev2_0-sent-sentd-INS_gt50	INS_gt50	I1-5x_HG006_grapev2_0	2518942743.0	2518942733.0	9.0	1.0	1.0	0.16666666666666669	0.1	0.999999999603008	0.5	0.5	0.5	HG006	giabHC	-1.0	-2.0	sent	sentd
I1-5x_HG006_grapev2_0-sent-sentd-Indel_50	Indel_50	I1-5x_HG006_grapev2_0	2518942743.0	2518930399.0	8897.0	3447.0	13.0	0.43621867881548976	0.2792449773169151	0.9999999948390793	0.0037572254335260114	0.996242774566474	0.996242774566474	HG006	giabHC	-1.0	-2.0	sent	sentd
I1-5x_HG006_grapev2_0-sent-sentd-Indel_gt50	Indel_gt50	I1-5x_HG006_grapev2_0	2518942743.0	2518942532.0	182.0	29.0	1.0	0.24066390041493774	0.13744075829383887	0.999999999603008	0.03333333333333333	0.9666666666666667	0.9666666666666667	HG006	giabHC	-1.0	-2.0	sent	sentd
I1-5x_HG006_grapev2_0-sent-sentd-SNPts	SNPts	I1-5x_HG006_grapev2_0	2518942743.0	2516724483.0	1458940.0	759320.0	6692.0	0.5088812279845805	0.34230432861792576	0.9999973409953091	0.008736155569364449	0.9912638444306355	0.9912638444306355	HG006	giabHC	-1.0	-2.0	sent	sentd
I1-5x_HG006_grapev2_0-sent-sentd-SNPtv	SNPtv	I1-5x_HG006_grapev2_0	2518942743.0	2517891875.0	696181.0	354687.0	4190.0	0.5031931306725684	0.3375181278714358	0.9999983359122491	0.011675309367833547	0.9883246906321664	0.9883246906321664	HG006	giabHC	-1.0	-2.0	sent	sentd
I12x_HG006_grapev2_0-sent-sentd-All	All	I12x_HG006_grapev2_0	3088286401.0	3084448526.0	56727.0	3781148.0	1047856.0	0.8725512378792873	0.9852191642510504	0.9996603930550323	0.21699215821730528	0.7830078417826947	0.7830078417826948	HG006	hg38	-1.0	-2.0	sent	sentd
I12x_HG006_grapev2_0-sent-sentd-DEL_50	DEL_50	I12x_HG006_grapev2_0	3088286401.0	3088064046.0	4497.0	217858.0	208243.0	0.6719283960669653	0.9797755840885071	0.9999325697411003	0.4887174636999209	0.511282536300079	0.5112825363000791	HG006	hg38	-1.0	-2.0	sent	sentd
I12x_HG006_grapev2_0-sent-sentd-DEL_gt50	DEL_gt50	I12x_HG006_grapev2_0	3088286401.0	3088286361.0	36.0	4.0	1623.0	0.004799040191961607	0.1	0.9999994744661093	0.9975414874001229	0.0024585125998770607	0.002458512599877074	HG006	hg38	-1.0	-2.0	sent	sentd
I12x_HG006_grapev2_0-sent-sentd-INS_50	INS_50	I12x_HG006_grapev2_0	3088286401.0	3088064662.0	4606.0	217133.0	191717.0	0.6886672618773875	0.9792278309183319	0.9999379206333698	0.4689176959765195	0.5310823040234804	0.5310823040234804	HG006	hg38	-1.0	-2.0	sent	sentd
I12x_HG006_grapev2_0-sent-sentd-INS_gt50	INS_gt50	I12x_HG006_grapev2_0	3088286401.0	3088286360.0	29.0	12.0	1350.0	0.017106200997861726	0.2926829268292683	0.9999995628645623	0.9911894273127754	0.008810572687224627	0.00881057268722467	HG006	hg38	-1.0	-2.0	sent	sentd
I12x_HG006_grapev2_0-sent-sentd-Indel_50	Indel_50	I12x_HG006_grapev2_0	3088286401.0	3088260892.0	479.0	25030.0	43205.0	0.5340075098139614	0.9812223136932063	0.9999860101212047	0.6331794533597127	0.3668205466402873	0.36682054664028724	HG006	hg38	-1.0	-2.0	sent	sentd
I12x_HG006_grapev2_0-sent-sentd-Indel_gt50	Indel_gt50	I12x_HG006_grapev2_0	3088286401.0	3088285354.0	68.0	979.0	1633.0	0.5351188849412408	0.9350525310410697	0.9999994712278986	0.6251914241960184	0.37480857580398164	0.37480857580398164	HG006	hg38	-1.0	-2.0	sent	sentd
I12x_HG006_grapev2_0-sent-sentd-SNPts	SNPts	I12x_HG006_grapev2_0	3088286401.0	3086002220.0	30881.0	2253300.0	350562.0	0.9219640661917254	0.9864804934460097	0.9998864154473706	0.13463155881532893	0.865368441184671	0.865368441184671	HG006	hg38	-1.0	-2.0	sent	sentd
I12x_HG006_grapev2_0-sent-sentd-SNPtv	SNPtv	I12x_HG006_grapev2_0	3088286401.0	3087203438.0	16131.0	1066832.0	249523.0	0.8892793702210378	0.9851047542713832	0.9999191816027153	0.18955600882740598	0.810443991172594	0.810443991172594	HG006	hg38	-1.0	-2.0	sent	sentd
I15x_HG006_grapev2_0-sent-sentd-All	All	I15x_HG006_grapev2_0	2518942743.0	2515245989.0	27990.0	3668764.0	16838.0	0.9939276837909198	0.99242849267222	0.9999933056697617	0.004568588794991972	0.995431411205008	0.995431411205008	HG006	giabHC	-1.0	-2.0	sent	sentd
I15x_HG006_grapev2_0-sent-sentd-DEL_50	DEL_50	I15x_HG006_grapev2_0	2518942743.0	2518738432.0	1878.0	202433.0	601.0	0.9939142495918694	0.9908081307418592	0.9999997613885392	0.002960095353487593	0.9970399046465124	0.9970399046465124	HG006	giabHC	-1.0	-2.0	sent	sentd
