Name	X	Y
background: EUR	-0.026	0.555
background: EUR	-0.728	1.564
background: EUR	-0.344	0.189
background: EUR	-0.458	1.685
background: EUR	-0.075	1.016
background: EUR	0.2	2.948
background: EUR	1.073	2.062
background: EUR	-1.001	0.163
background: EUR	0.126	1.401
background: EUR	-0.978	2.431
background: EUR	-0.377	2.32
background: EUR	-0.941	0.935
background: EUR	-0.082	1.492
background: EUR	-0.116	0.296
background: EUR	-0.671	1.544
background: EUR	-0.671	1.211
background: EUR	0.262	2.013
background: EUR	-0.721	1.073
background: EUR	0.527	1.594
background: EUR	-0.586	1.306
background: EUR	-0.029	1.145
background: EUR	-1.258	1.025
background: EUR	-0.69	0.51
background: EUR	0.152	1.59
background: EUR	-0.337	1.336
background: EUR	-0.739	1.962
background: EUR	-0.968	2.616
background: EUR	-1.335	1.301
background: EUR	-0.284	0.756
background: EUR	-0.88	1.293
background: EUR	0.283	1.637
background: EUR	-0.471	1.144
background: EUR	-0.504	0.535
background: EUR	-1.028	0.47
background: EUR	-0.151	1.413
background: EUR	-0.78	1.923
background: EUR	-0.749	1.118
background: EUR	0.144	1.138
background: EUR	-0.821	0.671
background: EUR	-0.066	1.52
background: EUR	-0.8	0.634
background: EUR	-0.746	0.41
background: EUR	-0.137	1.051
background: EUR	0.697	1.236
background: EUR	-0.439	1.212
background: EUR	-0.185	1.837
background: EUR	0.035	0.885
background: EUR	-0.44	1.552
background: EUR	-0.013	0.978
background: EUR	0.116	0.987
background: EUR	-0.762	0.532
background: EUR	-0.809	0.176
background: EUR	-0.044	0.165
background: EUR	0.297	1.616
background: EUR	0.485	1.7
background: EUR	0.245	0.671
background: EUR	-0.786	1.623
background: EUR	-0.892	0.129
background: EUR	-0.46	1.61
background: EUR	-0.759	1.886
background: EUR	-0.182	1.289
background: EUR	-1.127	1.483
background: EUR	0.002	0.546
background: EUR	-0.372	2.166
background: EUR	-0.872	0.633
background: EUR	-0.254	0.92
background: EUR	-0.453	1.136
background: EUR	0.643	2.258
background: EUR	0.032	0.861
background: EUR	-1.177	0.322
background: EUR	0.145	0.646
background: EUR	-0.39	1.253
background: EUR	-0.983	0.918
background: EUR	-0.343	2.174
background: EUR	-0.002	1.772
background: EUR	-0.11	1.818
background: EUR	-0.516	0.988
background: EUR	-1.191	1.772
background: EUR	-0.207	2.314
background: EUR	0.335	2.186
background: EUR	-0.3	0.397
background: EUR	-0.566	1.727
background: EUR	-0.542	0.841
background: EUR	-0.156	1.924
background: EUR	-0.92	0.381
background: EUR	0.185	1.775
background: EUR	-0.738	1.839
background: EUR	-0.894	1.393
background: EUR	-0.234	1.773
background: EUR	-1.133	-0.074
background: EUR	-0.017	2.568
background: EUR	-0.094	1.931
background: EUR	-0.292	1.447
background: EUR	-0.659	0.235
background: EUR	-0.622	0.375
background: EUR	0.107	1.637
background: EUR	-0.973	0.42
background: EUR	-1.011	0.98
background: EUR	0.659	1.963
background: EUR	0.807	1.813
background: EUR	0.003	1.228
background: EUR	0.214	1.547
background: EUR	-0.077	1.475
background: EUR	-0.752	-0.666
background: EUR	-0.461	0.775
background: EUR	-0.046	0.769
background: EUR	-0.558	1.954
background: EUR	-0.209	0.939
background: EUR	-0.946	1.82
background: EUR	-0.368	1.89
background: EUR	-0.726	1.011
background: EUR	-0.853	1.121
background: EUR	-0.48	1.152
background: EUR	-0.981	0.941
background: EUR	-1.123	0.077
background: EUR	-0.306	2.045
background: EUR	-0.179	0.544
background: EUR	-0.827	0.079
background: EUR	-0.559	1.318
background: EUR	-0.634	0.473
background: EUR	-0.529	0.585
background: EUR	0.097	1.853
background: EUR	0.131	0.853
background: EUR	-0.173	0.129
background: EUR	-0.315	1.755
background: EUR	-0.092	2.027
background: EUR	-0.107	1.955
background: EUR	-0.007	1.163
background: EUR	-0.139	0.284
background: EUR	-0.947	0.785
background: EUR	0.001	1.653
background: EUR	-0.972	1.794
background: EUR	-0.185	0.65
background: EUR	-1.024	0.592
background: EUR	-1.306	0.934
background: EUR	-0.26	0.342
background: EUR	0.159	0.82
background: EUR	-0.491	2.189
background: EUR	-0.635	1.058
background: EUR	-1.094	1.336
background: EUR	0.464	1.022
background: EUR	-0.516	1.997
background: EUR	0.467	1.634
background: EUR	-0.408	0.44
background: EUR	-0.802	0.888
background: EUR	-0.905	1.221
background: EUR	-0.452	1.129
background: EUR	-0.799	0.721
background: EUR	0.01	0.342
background: EUR	0.069	0.779
background: EUR	-0.334	0.818
background: EUR	-1.214	0.841
background: EUR	0.064	1.418
background: EUR	0.369	1.212
background: EUR	-0.682	1.124
background: EUR	-0.889	1.317
background: EUR	-0.136	1.559
background: EUR	-0.249	1.362
background: EUR	-0.006	2.027
background: EUR	0.283	1.14
background: EUR	0.859	1.148
background: EUR	-0.796	1.227
background: EUR	-0.592	0.432
background: EUR	-0.56	1.21
background: EUR	-0.343	1.227
background: EUR	0.195	0.731
background: EUR	0.02	-0.003
background: EUR	-0.638	0.939
background: EUR	-0.366	0.025
background: EUR	-0.85	1.496
background: EUR	-0.123	1.652
background: EUR	0.935	0.771
background: EUR	-1.282	1.216
background: EUR	-0.814	0.83
background: EUR	0.424	1.614
background: EUR	-0.473	0.668
background: EUR	-0.915	1.194
background: EUR	-0.086	0.544
background: EUR	-0.548	0.706
background: EUR	-0.022	0.732
background: EUR	-1.323	1.11
background: EUR	0.475	1.77
background: EUR	-0.303	0.295
background: EUR	-0.653	0.094
background: EUR	-0.432	1.253
background: EAS	-1.238	-0.995
background: EAS	-0.187	-1.583
background: EAS	-0.558	-1.135
background: EAS	-0.387	-1.357
background: EAS	-1.559	-0.335
background: EAS	-0.884	-0.318
background: EAS	-1.239	-0.704
background: EAS	-0.667	0.241
background: EAS	-0.94	-0.642
background: EAS	-0.817	-1.218
background: EAS	-1.662	-1.468
background: EAS	-2.164	-0.132
background: EAS	-1.221	-0.127
background: EAS	-0.533	-1.101
background: EAS	-0.943	-1.112
background: EAS	-0.484	-0.951
background: EAS	-1.405	-1.085
background: EAS	-1.37	-0.41
background: EAS	-1.065	-0.304
background: EAS	-1.118	-0.818
background: EAS	-1.267	-1.714
background: EAS	-1.51	-1.725
background: EAS	-0.414	-0.546
background: EAS	-0.963	-0.566
background: EAS	-1.679	-0.232
background: EAS	-1.163	-0.822
background: EAS	-0.896	-0.273
background: EAS	-1.849	-0.521
background: EAS	-0.529	-1.233
background: EAS	-0.84	0.009
background: EAS	-1.942	-0.721
background: EAS	-1.348	-1.549
background: EAS	-1.314	-1.404
background: EAS	-1.284	-0.966
background: EAS	-1.819	-0.887
background: EAS	-0.171	-1.114
background: EAS	-1.571	-1.327
background: EAS	-0.735	0.37
background: EAS	-0.816	-0.511
background: EAS	-0.155	-0.672
background: EAS	-1.437	-1.032
background: EAS	-0.76	-1.235
background: AMR	-0.578	0.608
background: AMR	-0.282	1.326
background: AMR	0.031	1.439
background: EAS	-1.448	-1.127
background: EAS	-1.563	-0.787
background: EAS	-2.055	-1.046
background: EAS	-1.543	-2.528
background: EAS	-0.89	-1.096
background: EAS	-0.646	-0.119
background: EAS	-1.651	-0.505
background: EAS	-1.65	-0.616
background: EAS	-1.071	-0.837
background: EAS	-1.98	-1.471
background: EAS	-1.521	-0.965
background: EAS	-1.265	-1.211
background: EAS	-1.073	-1.751
background: EAS	-1.085	-0.15
background: EAS	-1.968	-0.61
background: EAS	-0.986	-1.615
background: EAS	-1.68	-1.06
background: EAS	-1.427	-0.626
background: EAS	-0.594	-1.189
background: EAS	-1.505	-0.46
background: EAS	-0.454	-1.467
background: EAS	-1.292	-0.641
background: EAS	-0.761	-2.542
background: EAS	-1.219	-1.657
background: EAS	-1.347	-1.114
background: EAS	-1.453	-1.078
background: EAS	-0.347	-1.137
background: EAS	-1.609	-1.426
background: EAS	-1.492	-1.745
background: EAS	-0.229	-1.176
background: EAS	-0.96	-1.108
background: EAS	-0.678	0.105
background: EAS	-0.565	-1.602
background: EAS	-0.96	-1.173
background: EAS	-0.662	-1.545
background: AMR	0.883	1.688
background: AMR	0.297	0.297
background: AMR	-0.082	1.125
background: AMR	-0.358	0.234
background: EAS	-1.483	-0.685
background: EAS	-1.335	-0.395
background: EAS	-0.77	-1.458
background: EAS	-0.615	-1.157
background: EAS	-1.223	-1.622
background: EAS	-0.64	-1.241
background: EAS	-1.251	-1.561
