Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	185	186	187	188	189	190	191	192	193	194	195	196	197	198	199	200	201	202	203	204	205	206	207	208	209	210	211	212	213	214	215	216	217	218	219	220	221	222	223	224	225	226	227	228	229	230	231	232	233	234	235	236	237	238	239	240	241	242	243	244	245	246	247	248	249	250	251	252	253	254	255	256	257	258	259	260	261	262	263	264	265	266	267	268	269	270	271	272	273	274	275	276	277	278	279	280	281	282	283	284	285	286	287	288	289	290	291	292	293	294	295	296	297	298	299	300	301	302	303	304	305	306	307	308	309	310	311	312	313	314	315	316	317	318	319	320	321	322	323	324	325	326	327	328	329	330	331	332	333	334	335	336	337	338	339	340	341	342	343	344	345	346	347	348	349	350	351	352	353	354	355	356	357	358	359	360	361	362	363	364	365	366	367	368	369	370	371	372	373	374	375	376	377	378	379	380	381	382	383	384	385	386	387	388	389	390	391	392	393	394	395	396	397	398	399	400	401	402	403	404	405	406	407	408	409	410	411	412	413	414	415	416	417	418	419	420	421	422	423	424	425	426	427	428	429	430	431	432	433	434	435	436	437	438	439	440	441	442	443	444	445	446	447	448	449	450	451	452	453	454	455	456	457	458	459	460	461	462	463	464	465	466	467	468	469	470	471	472	473	474	475	476	477	478	479	480	481	482	483	484	485	486	487	488	489	490	491	492	493	494	495	496	497	498	499	500	501	502	503	504	505	506	507	508	509	510	511	512	513	514	515	516	517	518	519	520	521	522	523	524	525	526	527	528	529	530	531	532	533	534	535	536	537	538	539	540	541	542	543	544	545	546	547	548	549	550	551	552	553	554	555	556	557	558	559	560	561	562	563	564	565	566	567	568	569	570	571	572	573	574	575	576	577	578	579	580	581	582	583	584	585	586	587	588	589	590	591	592	593	594	595	596	597	598	599
UG1_ANA0-HG001_DBC0_0.ug.sentdug.snv.sort	(1.1, 333)	(5.3, 3542)	(9.5, 46)	(13.8, 6)	(18.1, 8)	(22.4, 24)	(27.3, 10)	(32.0, 38)	(36.4, 9)	(40.8, 2486)	(45.1, 12)	(49.4, 9)	(53.8, 2744)	(58.2, 7)	(62.5, 0)	(66.9, 18)	(71.2, 4)	(75.5, 3)	(80.0, 22)	(84.3, 49)	(88.6, 6)	(93.0, 16)	(97.3, 21)	(101.6, 6)	(106.1, 5)	(110.4, 3)	(114.8, 1060)	(119.1, 1)	(123.4, 1)	(127.9, 7)	(132.2, 2)	(136.5, 1)	(140.9, 31)	(145.2, 2)	(149.6, 0)	(154.0, 22)	(158.3, 9)	(162.6, 2)	(167.0, 4)	(171.4, 2)	(175.8, 890)	(180.1, 2)	(184.4, 3)	(188.8, 1131)	(193.2, 5)	(197.5, 1)	(201.9, 17)	(206.2, 1)	(210.5, 1)	(215.0, 4)	(219.3, 3)	(223.6, 0)	(228.0, 11)	(232.3, 0)	(236.8, 828)	(241.1, 0)	(245.4, 0)	(249.8, 770)	(254.1, 1)	(258.5, 1)	(262.9, 5)	(267.2, 5)	(271.5, 2)	(275.9, 3)	(280.3, 2)	(284.6, 0)	(289.0, 4)	(293.3, 5)	(297.6, 1)	(302.0, 2)	(306.5, 1)	(310.9, 6)	(315.2, 2)	(319.5, 0)	(323.9, 2)	(328.3, 3)	(332.6, 1)	(337.0, 3)	(341.3, 1)	(345.6, 1)	(350.1, 0)	(354.4, 0)	(358.9, 2)	(363.2, 1)	(367.5, 0)	(372.0, 3)	(376.3, 1)	(380.6, 1)	(385.1, 0)	(389.4, 2)	(393.9, 2)	(398.2, 1)	(402.5, 0)	(406.9, 3)	(411.2, 2)	(415.6, 2)	(420.0, 2)	(424.4, 0)	(428.8, 1904)	(433.1, 1)	(437.5, 1)	(442.0, 2)	(446.4, 1)	(450.8, 1915)	(455.1, 0)	(459.5, 1)	(464.0, 2)	(468.5, 1)	(473.0, 4)	(477.3, 0)	(481.8, 2183)	(486.2, 0)	(490.5, 1)	(494.9, 3)	(499.2, 0)	(503.6, 1)	(508.3, 0)	(512.8, 2484)	(517.2, 0)	(521.6, 1)	(526.1, 1)	(530.5, 1)	(534.9, 1)	(539.2, 2)	(543.8, 2612)	(548.2, 3)	(552.9, 2)	(557.4, 0)	(562.1, 1)	(566.5, 0)	(571.1, 2)	(575.5, 1)	(580.3, 2)	(584.9, 6)	(589.3, 2)	(593.8, 2948)	(598.4, 1)	(602.9, 5)	(607.2, 4)	(611.6, 1)	(616.0, 2)	(620.5, 0)	(625.1, 0)	(629.6, 0)	(634.0, 3)	(638.5, 0)	(643.2, 2)	(647.8, 3026)	(652.5, 0)	(657.0, 1)	(661.5, 0)	(665.9, 2)	(670.3, 0)	(674.8, 3014)	(679.3, 1)	(683.8, 3052)	(688.4, 1)	(693.5, 0)	(698.0, 4)	(702.4, 0)	(707.1, 1)	(711.5, 0)	(716.2, 1)	(720.6, 0)	(725.2, 0)	(730.0, 3)	(734.6, 0)	(739.6, 0)	(744.0, 2)	(748.4, 1)	(753.1, 0)	(757.5, 0)	(762.2, 0)	(766.8, 2485)	(771.9, 0)	(776.8, 2438)	(781.1, 0)	(786.0, 1)	(790.3, 1)	(795.0, 3)	(799.5, 1)	(804.2, 0)	(808.9, 2)	(813.5, 0)	(818.1, 1)	(823.0, 1)	(827.6, 1)	(832.5, 1)	(837.0, 3)	(841.6, 1)	(846.3, 2)	(851.0, 1)	(856.1, 1)	(861.0, 1)	(866.0, 1)	(871.2, 1)	(876.6, 0)	(881.5, 0)	(887.1, 2)	(892.8, 1684)	(897.2, 1)	(901.9, 3)	(906.6, 2)	(911.5, 0)	(916.6, 0)	(922.0, 3)	(927.2, 1)	(932.3, 0)	(937.4, 1)	(942.4, 2)	(947.6, 0)	(952.9, 1)	(958.1, 0)	(963.3, 1)	(968.2, 0)	(973.5, 0)	(978.5, 0)	(984.8, 1214)	(990.4, 0)	(996.2, 0)	(1001.6, 1)	(1006.8, 1042)	(1012.3, 0)	(1017.8, 1043)	(1022.6, 0)	(1027.9, 0)	(1033.0, 2)	(1039.4, 0)	(1044.9, 2)	(1050.5, 0)	(1055.8, 1024)	(1061.2, 0)	(1066.2, 1)	(1071.3, 1)	(1076.5, 0)	(1082.5, 0)	(1088.5, 0)	(1094.8, 874)	(1099.9, 0)	(1106.0, 1)	(1112.0, 1)	(1117.8, 817)	(1123.5, 0)	(1129.2, 0)	(1134.9, 0)	(1140.4, 0)	(1146.0, 0)	(1152.3, 1)	(1157.9, 0)	(1165.0, 0)	(1171.1, 0)	(1177.0, 0)	(1182.8, 700)	(1188.5, 1)	(1195.0, 1)	(1201.4, 0)	(1207.9, 0)	(1214.0, 0)	(1220.8, 739)	(1227.2, 0)	(1232.4, 0)	(1238.1, 1)	(1245.2, 0)	(1251.0, 2)	(1257.8, 723)	(1264.3, 1)	(1271.0, 0)	(1278.2, 1)	(1285.0, 1)	(1292.8, 736)	(1299.0, 0)	(1306.8, 725)	(1313.5, 1)	(1322.0, 0)	(1329.8, 763)	(1338.1, 0)	(1346.0, 1)	(1353.3, 0)	(1361.0, 0)	(1368.0, 0)	(1375.3, 1)	(1384.0, 1)	(1391.8, 839)	(1399.9, 3)	(1407.8, 888)	(1415.0, 0)	(1424.8, 891)	(1432.9, 1)	(1442.2, 1)	(1450.8, 906)	(1460.2, 0)	(1469.9, 0)	(1479.6, 1)	(1487.3, 1)	(1499.1, 1)	(1510.9, 2)	(1521.1, 0)	(1532.1, 0)	(1543.9, 1)	(1555.0, 1)	(1568.2, 2)	(1578.1, 0)	(1593.8, 972)	(1608.4, 0)	(1622.8, 994)	(1636.2, 0)	(1651.8, 1008)	(1665.8, 975)	(1679.0, 0)	(1691.3, 0)	(1706.0, 0)	(1722.8, 988)	(1738.8, 961)	(1756.8, 928)	(1774.9, 1)	(1791.2, 0)	(1810.0, 0)	(1829.9, 0)	(1848.0, 1)	(1872.8, 822)	(1889.8, 793)	(1912.9, 0)	(1934.9, 0)	(1963.8, 709)	(1987.1, 1)	(2016.2, 2)	(2043.8, 613)	(2071.8, 522)	(2104.8, 474)	(2131.0, 1)	(2160.2, 0)	(2192.8, 354)	(2227.8, 346)	(2259.8, 305)	(2288.8, 307)	(2323.8, 242)	(2358.8, 212)	(2391.8, 201)	(2423.8, 166)	(2457.8, 132)	(2495.8, 118)	(2532.9, 1)	(2567.8, 88)	(2602.8, 65)	(2634.8, 56)	(2667.8, 53)	(2704.8, 42)	(2742.8, 53)	(2778.8, 30)	(2813.8, 29)	(2846.8, 21)	(2884.1, 0)	(2919.8, 14)	(2956.8, 17)	(2994.8, 16)	(3029.8, 5)	(3069.8, 15)	(3105.8, 5)	(3142.8, 10)	(3180.8, 8)	(3217.8, 13)	(3256.8, 9)	(3294.8, 7)	(3329.8, 5)	(3367.8, 10)	(3404.8, 8)	(3443.8, 2)	(3482.8, 9)	(3520.8, 10)	(3557.2, 0)	(3595.8, 6)	(3633.8, 5)	(3672.8, 3)	(3711.8, 5)	(3750.8, 7)	(3788.8, 5)	(3826.8, 5)	(3864.8, 6)	(3903.8, 5)	(3941.8, 4)	(3980.8, 5)	(4018.8, 4)	(4054.8, 5)	(4093.8, 7)	(4130.8, 5)	(4168.8, 4)	(4207.8, 0)	(4244.8, 1)	(4281.8, 1)	(4320.8, 6)	(4359.8, 3)	(4397.8, 6)	(4434.8, 4)	(4472.8, 2)	(4511.8, 1)	(4549.8, 5)	(4589.8, 1)	(4628.8, 2)	(4667.8, 3)	(4706.8, 1)	(4745.8, 3)	(4784.8, 2)	(4823.8, 2)	(4863.8, 3)	(4901.8, 4)	(4944.8, 5)	(4982.8, 2)	(5020.8, 2)	(5061.8, 4)	(5102.8, 5)	(5141.8, 0)	(5179.8, 5)	(5218.8, 4)	(5258.8, 0)	(5297.8, 2)	(5337.8, 3)	(5377.8, 0)	(5417.8, 3)	(5456.8, 1)	(5497.8, 4)	(5538.8, 0)	(5577.8, 1)	(5617.8, 2)	(5659.8, 2)	(5700.8, 2)	(5740.8, 0)	(5781.8, 0)	(5826.8, 1)	(5867.8, 1)	(5908.8, 2)	(5951.8, 0)	(5993.8, 1)	(6038.8, 2)	(6082.8, 1)	(6123.8, 0)	(6165.8, 2)	(6207.8, 1)	(6250.8, 2)	(6291.8, 0)	(6336.8, 1)	(6383.8, 1)	(6430.8, 1)	(6476.8, 1)	(6520.8, 2)	(6562.8, 2)	(6604.8, 1)	(6648.8, 0)	(6694.8, 2)	(6738.8, 0)	(6782.8, 1)	(6827.8, 0)	(6876.8, 0)	(6921.8, 0)	(6971.8, 0)	(7020.8, 1)	(7065.8, 2)	(7108.8, 0)	(7158.8, 1)	(7203.8, 1)	(7255.8, 2)	(7299.8, 0)	(7348.8, 2)	(7395.8, 0)	(7444.8, 0)	(7494.8, 0)	(7541.8, 1)	(7592.8, 0)	(7638.8, 0)	(7692.8, 1)	(7745.8, 1)	(7794.8, 1)	(7847.8, 1)	(7904.8, 1)	(7952.8, 0)	(8002.8, 1)	(8058.8, 1)	(8121.8, 1)	(8176.8, 1)	(8234.8, 2)	(8295.8, 0)	(8354.8, 1)	(8408.8, 1)	(8463.8, 1)	(8531.8, 0)	(8606.8, 1)	(8671.8, 1)	(8733.8, 1)	(8785.8, 1)	(8842.8, 1)	(8906.8, 0)	(8978.8, 1)	(9047.8, 1)	(9128.8, 0)	(9193.8, 0)	(9261.8, 0)	(9317.8, 0)	(9403.8, 0)	(9477.8, 1)	(9563.8, 2)	(9645.8, 0)	(9718.8, 1)	(9797.8, 0)	(9871.8, 1)	(9941.8, 1)	(10025.9, 0)	(10112.9, 1)	(10204.9, 1)	(10300.9, 0)	(10372.9, 0)	(10451.9, 1)	(10565.9, 1)	(10685.9, 1)	(10796.9, 0)	(10868.9, 1)	(10950.9, 0)	(11079.9, 0)	(11167.9, 0)	(11266.9, 0)	(11384.9, 1)	(11505.9, 1)	(11620.9, 1)	(11774.9, 1)	(11894.9, 1)	(12027.9, 0)	(12147.9, 2)	(12276.9, 1)	(12398.9, 1)	(12555.9, 1)	(12749.9, 1)	(12928.9, 1)	(13058.9, 1)	(13212.9, 1)	(13350.9, 1)	(13492.9, 0)	(13675.9, 0)	(13844.9, 0)	(14019.9, 0)	(14177.9, 0)	(14388.9, 1)	(14612.9, 0)	(14796.9, 0)	(15006.9, 0)	(15251.9, 1)	(15475.9, 0)	(15741.9, 0)	(15991.9, 0)	(16228.9, 1)	(16453.9, 2)	(16752.9, 1)	(16955.9, 0)	(17213.9, 0)	(17529.9, 1)	(17906.9, 0)	(18208.9, 0)	(18495.9, 0)	(18873.9, 0)	(19241.9, 2)	(19521.9, 0)	(19919.9, 1)	(20346.9, 0)	(20819.9, 0)	(21383.9, 0)	(21842.9, 1)	(22453.9, 0)	(23009.9, 0)	(23420.9, 0)	(23994.9, 0)	(24650.9, 1)	(25360.9, 1)	(26223.9, 1)	(27180.9, 1)	(27807.9, 0)	(28670.9, 0)	(29512.9, 0)	(30424.9, 0)	(32198.9, 0)	(33551.9, 0)	(35235.9, 1)	(37053.9, 0)	(38880.9, 0)	(40771.9, 1)	(43376.9, 1)	(45997.9, 1)	(48329.9, 0)	(51280.9, 0)	(54251.9, 1)	(56487.9, 1)	(61121.9, 0)	(66288.9, 1)	(71618.9, 0)	(76769.9, 1)	(81416.9, 0)	(89474.9, 1)	(95396.9, 1)	(106099.9, 1)	(118799.9, 0)	(132869.9, 1)	(158899.9, 0)	(231099.9, 0)	(417649.9, 0)
UG1_ANA0-HG002_DBC0_0.ug.sentdug.snv.sort	(1.0, 0)	(5.6, 19)	(9.9, 47)	(14.3, 6)	(18.8, 3166)	(23.4, 21)	(28.4, 22)	(33.2, 14)	(37.6, 11)	(42.2, 14)	(46.6, 10)	(51.2, 4)	(55.6, 4)	(60.2, 2)	(64.6, 8)	(69.2, 16)	(73.6, 16)	(78.2, 7)	(82.6, 0)	(87.2, 5)	(91.6, 3)	(96.2, 6)	(100.6, 4)	(105.2, 11)	(109.6, 1)	(114.2, 6)	(118.6, 2)	(123.2, 3)	(127.6, 3)	(132.2, 5)	(136.6, 3)	(141.2, 6)	(145.6, 4)	(150.2, 9)	(154.6, 2)	(159.2, 4)	(163.6, 2)	(168.2, 4)	(172.6, 5)	(177.2, 1)	(181.6, 4)	(186.2, 2)	(190.6, 2)	(195.2, 4)	(199.6, 2)	(204.2, 1)	(208.6, 2)	(213.2, 0)	(217.8, 912)	(222.2, 3)	(226.8, 833)	(231.2, 6)	(235.8, 878)	(240.2, 2)	(244.8, 904)	(249.2, 0)	(253.8, 935)	(258.2, 1)	(262.8, 848)	(267.2, 1)	(271.8, 914)	(276.2, 1)	(280.8, 956)	(285.2, 3)	(289.8, 1013)	(294.2, 3)	(298.9, 4)	(303.3, 3)	(307.9, 1)	(312.3, 3)	(316.9, 8)	(321.3, 0)	(325.9, 6)	(330.3, 3)	(334.9, 7)	(339.3, 2)	(343.9, 6)	(348.3, 3)	(352.9, 6)	(357.3, 3)	(361.9, 1)	(366.3, 1)	(370.9, 3)	(375.4, 1)	(380.0, 1)	(384.4, 2)	(389.1, 0)	(393.5, 1)	(398.1, 3)	(402.5, 2)	(407.1, 0)	(411.5, 0)	(416.1, 0)	(420.6, 0)	(425.1, 1)	(429.6, 1)	(434.1, 1)	(438.8, 1913)	(443.3, 2)	(448.0, 5)	(452.4, 0)	(457.0, 2)	(461.5, 0)	(466.1, 0)	(470.5, 0)	(475.1, 1)	(479.6, 1)	(484.5, 0)	(489.0, 5)	(493.5, 1)	(498.0, 3)	(502.5, 2)	(507.1, 0)	(511.6, 1)	(516.1, 1)	(520.6, 0)	(525.1, 1)	(529.9, 2)	(534.4, 1)	(539.1, 1)	(543.8, 2526)	(548.3, 2)	(552.9, 0)	(557.4, 0)	(561.9, 3)	(566.4, 0)	(570.9, 3)	(575.5, 0)	(580.0, 2)	(584.5, 0)	(589.0, 4)	(593.6, 0)	(598.2, 2)	(602.9, 1)	(607.4, 1)	(612.1, 0)	(616.6, 3)	(621.4, 0)	(626.2, 2)	(631.0, 2)	(636.0, 0)	(640.8, 2951)	(645.4, 0)	(650.0, 6)	(654.6, 0)	(659.2, 1)	(664.0, 4)	(668.6, 0)	(673.3, 1)	(678.0, 2)	(682.6, 0)	(687.1, 1)	(691.6, 1)	(696.4, 1)	(701.0, 1)	(705.5, 1)	(710.3, 2)	(714.8, 2818)	(719.3, 3)	(724.0, 6)	(729.0, 3)	(733.8, 2778)	(738.8, 2719)	(743.6, 1)	(748.6, 1)	(753.3, 0)	(758.3, 0)	(763.3, 0)	(768.1, 0)	(772.8, 2609)	(777.8, 2496)	(782.4, 0)	(787.8, 2413)	(792.9, 3)	(797.9, 0)	(803.0, 0)	(808.0, 1)	(812.9, 1)	(818.0, 2)	(822.5, 1)	(827.5, 0)	(832.4, 1)	(837.4, 1)	(842.2, 0)	(847.2, 2)	(852.9, 2)	(857.8, 2019)	(862.9, 2)	(867.9, 1)	(873.0, 3)	(878.0, 2)	(883.5, 0)	(888.5, 1)	(893.2, 2)	(898.2, 1)	(903.3, 0)	(908.2, 0)	(913.8, 1672)	(919.5, 1)	(924.9, 3)	(930.2, 0)	(935.3, 0)	(940.3, 0)	(945.5, 0)	(950.6, 2)	(955.8, 1474)	(961.0, 0)	(966.0, 0)	(971.2, 0)	(976.9, 3)	(982.8, 1298)	(988.1, 2)	(993.8, 1170)	(999.3, 1)	(1005.2, 1)	(1010.8, 1258)	(1015.9, 0)	(1021.0, 1)	(1026.8, 1081)	(1032.8, 1030)	(1038.9, 0)	(1044.1, 0)	(1049.8, 948)	(1055.8, 1072)	(1060.8, 1014)	(1066.8, 985)	(1072.3, 1)	(1078.6, 2)	(1084.5, 0)	(1090.2, 0)	(1096.1, 1)	(1102.1, 0)	(1108.0, 0)	(1112.9, 3)	(1118.8, 856)	(1125.9, 0)	(1131.9, 0)	(1137.1, 2)	(1143.1, 0)	(1149.9, 0)	(1155.6, 1)	(1161.3, 1)	(1167.9, 2)	(1173.0, 3)	(1178.5, 0)	(1184.6, 0)	(1190.6, 1)	(1196.9, 1)	(1203.1, 0)	(1209.2, 0)	(1215.8, 761)	(1222.8, 733)	(1230.0, 2)	(1236.1, 0)	(1243.0, 1)	(1249.5, 0)	(1256.3, 0)	(1263.9, 1)	(1271.0, 1)	(1278.4, 0)	(1286.4, 0)	(1294.9, 1)	(1302.0, 0)	(1308.3, 1)	(1314.9, 1)	(1322.8, 763)	(1329.6, 0)	(1336.0, 1)	(1343.9, 0)	(1351.1, 1)	(1359.0, 1)	(1366.4, 1)	(1375.8, 793)	(1383.3, 0)	(1390.9, 1)	(1398.9, 0)	(1407.3, 0)	(1417.5, 0)	(1424.8, 837)	(1435.3, 0)	(1443.6, 1)	(1452.8, 841)	(1461.2, 0)	(1471.8, 904)	(1480.6, 0)	(1489.6, 0)	(1499.5, 1)	(1512.0, 1)	(1522.6, 0)	(1533.9, 1)	(1543.2, 0)	(1554.8, 972)	(1564.8, 881)	(1576.3, 2)	(1588.3, 0)	(1599.6, 1)	(1610.9, 1)	(1623.9, 0)	(1636.0, 0)	(1650.8, 887)	(1662.8, 984)	(1675.8, 929)	(1691.2, 1)	(1703.0, 0)	(1717.8, 920)	(1731.9, 1)	(1747.1, 0)	(1762.9, 0)	(1779.8, 883)	(1797.0, 0)	(1816.8, 842)	(1836.0, 1)	(1853.4, 1)	(1875.8, 767)	(1894.8, 751)	(1917.2, 1)	(1938.2, 0)	(1961.8, 1015)	(1990.4, 1)	(2017.8, 635)	(2041.8, 592)	(2068.8, 585)	(2095.9, 0)	(2126.2, 1)	(2153.8, 471)	(2189.8, 389)	(2221.4, 1)	(2247.8, 310)	(2275.8, 267)	(2307.8, 260)	(2337.0, 1)	(2365.8, 222)	(2397.8, 224)	(2431.8, 182)	(2468.8, 134)	(2501.8, 252)	(2539.8, 104)	(2577.8, 85)	(2613.0, 1)	(2649.0, 1)	(2687.8, 64)	(2726.8, 92)	(2765.8, 35)	(2802.8, 32)	(2838.8, 33)	(2878.8, 29)	(2916.8, 20)	(2953.8, 21)	(2991.8, 16)	(3029.8, 18)	(3069.8, 17)	(3107.8, 12)	(3146.8, 11)	(3186.8, 9)	(3225.8, 7)	(3264.9, 0)	(3304.8, 6)	(3342.8, 8)	(3381.8, 7)	(3420.8, 6)	(3457.9, 0)	(3493.8, 8)	(3533.8, 4)	(3571.8, 5)	(3611.8, 8)	(3651.8, 5)	(3692.8, 6)	(3731.8, 10)	(3770.8, 1)	(3811.8, 3)	(3850.8, 3)	(3889.8, 2)	(3926.8, 5)	(3966.8, 1)	(4005.8, 5)	(4046.8, 9)	(4085.8, 3)	(4125.8, 2)	(4165.8, 2)	(4205.8, 4)	(4245.8, 1)	(4285.8, 4)	(4324.8, 2)	(4365.8, 4)	(4405.8, 2)	(4445.8, 3)	(4485.8, 1)	(4525.8, 3)	(4565.8, 5)	(4606.8, 1)	(4644.8, 2)	(4685.8, 3)	(4724.8, 3)	(4764.8, 6)	(4805.8, 0)	(4846.8, 2)	(4884.8, 0)	(4926.8, 2)	(4966.8, 1)	(5007.8, 3)	(5046.8, 3)	(5086.8, 2)	(5127.8, 3)	(5168.8, 1)	(5208.0, 0)	(5249.8, 3)	(5291.8, 1)	(5333.0, 1)	(5374.8, 1)	(5416.8, 4)	(5457.8, 1)	(5498.8, 0)	(5539.8, 0)	(5580.8, 2)	(5622.8, 2)	(5663.8, 3)	(5706.8, 1)	(5747.8, 2)	(5789.8, 2)	(5829.8, 2)	(5872.8, 1)	(5913.8, 2)	(5957.8, 1)	(5996.8, 2)	(6037.8, 2)	(6079.9, 0)	(6123.8, 3)	(6168.8, 0)	(6211.8, 2)	(6252.8, 0)	(6300.8, 0)	(6340.8, 1)	(6383.8, 1)	(6429.8, 0)	(6476.8, 0)	(6519.8, 1)	(6564.8, 1)	(6609.8, 1)	(6652.8, 0)	(6699.8, 0)	(6744.8, 4)	(6789.8, 1)	(6834.8, 1)	(6876.8, 2)	(6924.8, 1)	(6970.8, 2)	(7018.8, 3)	(7065.8, 0)	(7114.8, 1)	(7162.8, 1)	(7215.8, 0)	(7262.8, 1)	(7317.8, 1)	(7370.8, 1)	(7424.8, 2)	(7479.8, 1)	(7531.8, 1)	(7584.8, 1)	(7639.8, 0)	(7690.8, 1)	(7744.8, 2)	(7794.8, 0)	(7852.8, 1)	(7905.8, 0)	(7957.8, 1)	(8005.8, 0)	(8060.8, 0)	(8114.8, 0)	(8168.8, 1)	(8218.8, 1)	(8278.8, 1)	(8336.8, 0)	(8389.8, 0)	(8446.8, 1)	(8503.8, 2)	(8566.8, 1)	(8624.8, 2)	(8677.8, 1)	(8726.8, 1)	(8788.8, 0)	(8854.8, 0)	(8920.8, 0)	(8993.8, 0)	(9053.8, 1)	(9122.8, 0)	(9198.8, 1)	(9256.8, 0)	(9334.8, 0)	(9401.8, 1)	(9484.8, 0)	(9570.8, 0)	(9653.8, 0)	(9721.8, 2)	(9806.8, 2)	(9897.8, 1)	(9978.8, 0)	(10054.9, 1)	(10131.9, 1)	(10223.9, 0)	(10313.9, 0)	(10392.9, 1)	(10481.9, 0)	(10567.9, 0)	(10639.9, 0)	(10754.9, 0)	(10865.9, 1)	(10952.9, 1)	(11060.9, 0)	(11165.9, 1)	(11258.9, 0)	(11377.9, 4)	(11485.9, 0)	(11577.9, 1)	(11704.9, 1)	(11836.9, 1)	(11943.9, 1)	(12060.9, 1)	(12197.9, 0)	(12322.9, 0)	(12420.9, 1)	(12544.9, 0)	(12712.9, 1)	(12864.9, 0)	(13046.9, 0)	(13192.9, 1)	(13339.9, 0)	(13531.9, 1)	(13709.9, 0)	(13865.9, 0)	(14095.9, 0)	(14280.9, 0)	(14455.9, 1)	(14640.9, 1)	(14799.9, 0)	(14990.9, 0)	(15178.9, 0)	(15391.9, 0)	(15586.9, 1)	(15818.9, 0)	(16018.9, 1)	(16223.9, 0)	(16494.9, 1)	(16671.9, 0)	(16916.9, 0)	(17161.9, 0)	(17389.9, 1)	(17681.9, 1)	(18027.9, 1)	(18305.9, 1)	(18541.9, 0)	(18795.9, 1)	(19046.9, 1)	(19381.9, 1)	(19768.9, 0)	(20074.9, 0)	(20511.9, 1)	(20913.9, 0)	(21351.9, 1)	(21676.9, 0)	(22225.9, 1)	(22756.9, 0)	(23259.9, 1)	(23755.9, 1)	(24268.9, 0)	(24777.9, 0)	(25255.9, 0)	(25831.9, 1)	(26574.9, 0)	(27448.9, 0)	(28242.9, 0)	(29144.9, 1)	(30242.9, 0)	(31349.9, 1)	(32424.9, 0)	(33435.9, 0)	(34605.9, 0)	(36146.9, 0)	(37889.9, 1)	(39675.9, 0)	(41295.9, 0)	(42985.9, 1)	(44337.9, 1)	(46274.9, 1)	(48790.9, 0)	(51094.9, 1)	(53540.9, 1)	(55986.9, 0)	(59280.9, 1)	(62930.9, 1)	(67169.9, 1)	(70604.9, 1)	(78067.9, 1)	(85965.9, 1)	(94795.9, 0)	(103299.9, 1)	(114429.9, 1)	(132829.9, 1)	(164499.9, 0)	(245919.9, 1)	(373619.9, 0)
