sample,rule,task_cost,HG_sample
Ods30xUds30x_HG006_sup-PAY77227_0.,ont.sentdhuo.merge,0.007107,HG006
Ods30xUds30x_HG006_sup-PAY77227_0.,ont.sentdhuo.concat.fofn,3e-06,HG006
Ods30xUds30x_HG006_sup-PAY77227_0.,ont.sentdhuo.1-24,9.054084,HG006
Ods30xUds30x_HG006_sup-PAY77227_0.,ont.sentdhuo.concordance,0.962144,HG006
Ods10xUds30x_HG006_sup-PAY77227_0.,ont.sentdhuo.concordance,0.954024,HG006
Ods10xUds30x_HG006_sup-PAY77227_0.,ont.alignstats,0.051713,HG006
Ods10xUds30x_HG006_sup-PAY77227_0.,ont.sentdhuo.merge,0.007342,HG006
Ods10xUds30x_HG006_sup-PAY77227_0.,ont.sentdhuo.concat.fofn,4e-06,HG006
Ods10xUds30x_HG006_sup-PAY77227_0.,ont.sentdhuo.1-24,6.645439,HG006
Ods15xUds30x_HG006_sup-PAY77227_0.,ont.sentdhuo.concat.fofn,3e-06,HG006
Ods15xUds30x_HG006_sup-PAY77227_0.,ont.sentdhuo.merge,0.007244,HG006
Ods15xUds30x_HG006_sup-PAY77227_0.,ont.alignstats,0.049974,HG006
Ods15xUds30x_HG006_sup-PAY77227_0.,ont.sentdhuo.concordance,0.961821,HG006
Ods15xUds30x_HG006_sup-PAY77227_0.,ont.sentdhuo.1-24,9.508986,HG006
Ods5xUds5x_HG006_sup-PAY77227_0.,ont.sentdhuo.1-24,4.700768,HG006
Ods5xUds5x_HG006_sup-PAY77227_0.,ont.sentdhuo.concat.fofn,3e-06,HG006
Ods5xUds5x_HG006_sup-PAY77227_0.,ont.sentdhuo.concordance,1.048536,HG006
Ods5xUds5x_HG006_sup-PAY77227_0.,ont.sentdhuo.merge,0.007757,HG006
Ods15xUds5x_HG006_sup-PAY77227_0.,ont.alignstats,0.037581,HG006
Ods5xUds30x_HG006_sup-PAY77227_0.,ont.alignstats,0.049192,HG006
Ods5xUds30x_HG006_sup-PAY77227_0.,ont.sentdhuo.concordance,0.932218,HG006
Ods5xUds30x_HG006_sup-PAY77227_0.,ont.sentdhuo.1-24,6.20974,HG006
Ods5xUds30x_HG006_sup-PAY77227_0.,ont.sentdhuo.concat.fofn,3e-06,HG006
Ods5xUds30x_HG006_sup-PAY77227_0.,ont.sentdhuo.merge,0.007275,HG006
Ods15xUds15x_HG006_sup-PAY77227_0.,ont.sentdhuo.concat.fofn,3e-06,HG006
Ods15xUds15x_HG006_sup-PAY77227_0.,ont.sentdhuo.1-24,7.572641,HG006
Ods15xUds15x_HG006_sup-PAY77227_0.,ont.sentdhuo.concordance,0.943675,HG006
Ods15xUds15x_HG006_sup-PAY77227_0.,ont.sentdhuo.merge,0.006768,HG006
Ods20xUds20x_HG006_sup-PAY77227_0.,ont.alignstats,0.045032,HG006
Ods20xUds20x_HG006_sup-PAY77227_0.,ont.sentdhuo.merge,0.006927,HG006
Ods20xUds20x_HG006_sup-PAY77227_0.,ont.sentdhuo.concordance,0.941043,HG006
Ods20xUds20x_HG006_sup-PAY77227_0.,ont.sentdhuo.1-24,7.664455,HG006
Ods20xUds20x_HG006_sup-PAY77227_0.,ont.sentdhuo.concat.fofn,3e-06,HG006
Ods5xUds40x_HG006_sup-PAY77227_0.,ont.sentdhuo.merge,0.007217,HG006
Ods5xUds40x_HG006_sup-PAY77227_0.,ont.alignstats,0.038292,HG006
Ods5xUds40x_HG006_sup-PAY77227_0.,ont.sentdhuo.1-24,8.775725,HG006
Ods5xUds40x_HG006_sup-PAY77227_0.,ont.sentdhuo.concordance,0.936398,HG006
Ods5xUds40x_HG006_sup-PAY77227_0.,ont.sentdhuo.concat.fofn,3e-06,HG006
Ods20xUds40x_HG006_sup-PAY77227_0.,ont.alignstats,0.061366,HG006
Ods20xUds40x_HG006_sup-PAY77227_0.,ont.sentdhuo.merge,0.007266,HG006
Ods20xUds40x_HG006_sup-PAY77227_0.,ont.sentdhuo.concordance,0.964331,HG006
