sample,normalized_rule,Total_runtime_user,Total_runtime_cpu,Total_cost,Total_snake_threads,Avg_cpu_efficiency,Avg_task_cost,Runtime_cpu_per_vcpu
I30x_HG006_grapev2_0.,sent.mrkdup,693.0289,8798745.600000001,0.359528,192,66.1254,0.359528,45826.80000000001
I30x_HG006_grapev2_0.,sent.sentd,591.2299,7158387.84,0.306717,192,63.0605,0.306717,37283.27
I30x_HG006_grapev2_0.,sent.sentd.concat.fofn,0.4302,0.0,4e-06,1,0.0,4e-06,0.0
I30x_HG006_grapev2_0.,sent.sentd.concordance,2262.2644,21738.239999999998,0.586806,96,0.1001,0.586806,226.43999999999997
I30x_HG006_grapev2_0.,sent.sentd.merge,25.6946,155.16,0.000278,4,1.5097,0.000278,38.79
I3x_HG006_grapev2_0.,sent.alNsort,1053.155,81212.16,0.546353,192,0.4016,0.546353,422.98
I3x_HG006_grapev2_0.,sent.alignstats,82.1336,4602.24,0.011553,32,1.751,0.011553,143.82
I3x_HG006_grapev2_0.,sent.mrkdup,68.5503,564211.2,0.035562,192,42.8678,0.035562,2938.6
I3x_HG006_grapev2_0.,sent.sentd,219.4714,4329242.88,0.113857,192,102.7384,0.113857,22548.14
I3x_HG006_grapev2_0.,sent.sentd.concat.fofn,0.3692,0.0,4e-06,1,0.0,4e-06,0.0
I3x_HG006_grapev2_0.,sent.sentd.concordance,1748.4528,767.04,0.453529,96,0.0046,0.453529,7.989999999999999
I3x_HG006_grapev2_0.,sent.sentd.merge,14.941,9.36,0.000161,4,0.1566,0.000161,2.34
I5x_HG006_grapev2_0.,sent.alNsort,1117.9321,162276.48,0.579958,192,0.756,0.579958,845.19
I5x_HG006_grapev2_0.,sent.alignstats,127.2993,6407.04,0.011007,32,1.5728,0.011007,200.22
I5x_HG006_grapev2_0.,sent.mrkdup,105.3797,1208540.16,0.054669,192,59.7314,0.054669,6294.48
I5x_HG006_grapev2_0.,sent.sentd,299.292,6038749.4399999995,0.252586,192,105.0874,0.252586,31451.819999999996
I5x_HG006_grapev2_0.,sent.sentd.concat.fofn,0.3689,0.0,4e-06,1,0.0,4e-06,0.0
I5x_HG006_grapev2_0.,sent.sentd.concordance,2026.2873,34501.44,0.855037,96,0.1774,0.855037,359.39000000000004
I5x_HG006_grapev2_0.,sent.sentd.merge,19.0832,143.72,0.000206,4,1.8828,0.000206,35.93
I7x_HG006_grapev2_0.,sent.alNsort,1098.757,202531.19999999998,0.570011,192,0.96,0.570011,1054.85
I7x_HG006_grapev2_0.,sent.alignstats,172.9767,10141.44,0.014956,32,1.8322,0.014956,316.92
I7x_HG006_grapev2_0.,sent.mrkdup,138.4892,1631130.2399999998,0.071845,192,61.3439,0.071845,8495.47
I7x_HG006_grapev2_0.,sent.sentd,345.9964,6424926.720000001,0.179495,192,96.7154,0.179495,33463.16
I7x_HG006_grapev2_0.,sent.sentd.concat.fofn,0.3614,0.0,4e-06,1,0.0,4e-06,0.0
I7x_HG006_grapev2_0.,sent.sentd.concordance,2149.1315,29805.120000000003,0.906874,96,0.1445,0.906874,310.47
I7x_HG006_grapev2_0.,sent.sentd.merge,21.6255,146.6,0.000234,4,1.6948,0.000234,36.65
I9x_HG006_grapev2_0.,sent.alNsort,1135.7561,259852.80000000002,0.589205,192,1.1916,0.589205,1353.4
I9x_HG006_grapev2_0.,sent.alignstats,222.0983,11873.6,0.019203,32,1.6707,0.019203,371.05
I9x_HG006_grapev2_0.,sent.mrkdup,171.8528,1978569.5999999999,0.089153,192,59.9644,0.089153,10305.05
I9x_HG006_grapev2_0.,sent.sentd,369.4386,6698311.68,0.191657,192,94.4326,0.191657,34887.04
I9x_HG006_grapev2_0.,sent.sentd.concat.fofn,0.3656,0.0,4e-06,1,0.0,4e-06,0.0
I9x_HG006_grapev2_0.,sent.sentd.concordance,2181.0366,30382.08,0.565737,96,0.1451,0.565737,316.48
