sample,normalized_rule,Total_runtime_user,Total_runtime_cpu,Total_cost,Total_snake_threads,Avg_cpu_efficiency,Avg_task_cost,Runtime_cpu_per_vcpu
Ods5xUds15x_HG006_sup-PAY77227_0.,ont.sentdhuo.concordance,2578.7031,40149.12,0.939687,96,0.1622,0.939687,418.22
Ods5xUds15x_HG006_sup-PAY77227_0.,ont.sentdhuo.merge,31.3769,3157.12,0.007623,64,1.5722,0.007623,49.33
Ods5xUds20x_HG006_sup-PAY77227_0.,ont.alignstats,79.6747,6842.56,0.011022,32,2.6838,0.011022,213.83
Ods5xUds20x_HG006_sup-PAY77227_0.,ont.sentdhuo,5145.0468,22366.079999999998,4.270389,192,0.0226,4.270389,116.49
Ods5xUds20x_HG006_sup-PAY77227_0.,ont.sentdhuo.concat.fofn,0.4175,0.0,3e-06,1,0.0,3e-06,0.0
Ods5xUds20x_HG006_sup-PAY77227_0.,ont.sentdhuo.concordance,2652.3491,42497.28,1.100725,96,0.1669,1.100725,442.68
Ods5xUds20x_HG006_sup-PAY77227_0.,ont.sentdhuo.merge,30.6944,3166.72,0.008492,64,1.612,0.008492,49.48
Ods5xUds30x_HG006_sup-PAY77227_0.,ont.alignstats,355.8922,6771.52,0.049192,32,0.5946,0.049192,211.61
Ods5xUds30x_HG006_sup-PAY77227_0.,ont.sentdhuo,5847.8249,24981.120000000003,6.20974,192,0.0222,6.20974,130.11
Ods5xUds30x_HG006_sup-PAY77227_0.,ont.sentdhuo.concat.fofn,0.413,0.0,3e-06,1,0.0,3e-06,0.0
Ods5xUds30x_HG006_sup-PAY77227_0.,ont.sentdhuo.concordance,2607.1967,40906.56,0.932218,96,0.1634,0.932218,426.10999999999996
Ods5xUds30x_HG006_sup-PAY77227_0.,ont.sentdhuo.merge,30.5196,3237.76,0.007275,64,1.6576,0.007275,50.59
Ods5xUds40x_HG006_sup-PAY77227_0.,ont.alignstats,277.0337,6536.32,0.038292,32,0.7373,0.038292,204.26
Ods5xUds40x_HG006_sup-PAY77227_0.,ont.sentdhuo,6968.8557,32002.56,8.775725,192,0.0239,8.775725,166.68
Ods5xUds40x_HG006_sup-PAY77227_0.,ont.sentdhuo.concat.fofn,0.4051,0.0,3e-06,1,0.0,3e-06,0.0
Ods5xUds40x_HG006_sup-PAY77227_0.,ont.sentdhuo.concordance,2618.8895,36484.8,0.936398,96,0.1451,0.936398,380.05
Ods5xUds40x_HG006_sup-PAY77227_0.,ont.sentdhuo.merge,30.2776,3259.52,0.007217,64,1.6821,0.007217,50.93
Ods5xUds5x_HG006_sup-PAY77227_0.,ont.sentdhuo,5681.449,17679.36,4.700768,192,0.0162,4.700768,92.08
Ods5xUds5x_HG006_sup-PAY77227_0.,ont.sentdhuo.concat.fofn,0.3587,0.0,3e-06,1,0.0,3e-06,0.0
Ods5xUds5x_HG006_sup-PAY77227_0.,ont.sentdhuo.concordance,2537.6327,52896.96,1.048536,96,0.2171,1.048536,551.01
Ods5xUds5x_HG006_sup-PAY77227_0.,ont.sentdhuo.merge,28.16,2973.44,0.007757,64,1.6499,0.007757,46.46
Ods5x_HG006_sup-PAY77227_0.,ont.sentdont,3990.4949,129181808.64000002,3.297701,192,168.6061,3.297701,672821.92
Ods5x_HG006_sup-PAY77227_0.,ont.sentdont.concat.fofn,0.3546,0.0,3e-06,1,0.0,3e-06,0.0
Ods5x_HG006_sup-PAY77227_0.,ont.sentdont.concordance,2729.3872,54499.200000000004,0.994596,96,0.208,0.994596,567.7
Ods5x_HG006_sup-PAY77227_0.,ont.sentdont.merge,67.1447,6601.6,0.016312,64,1.5362,0.016312,103.15
Uds10x_HG006_408622-Z0116_0.,ug.alignstats,287.2646,27055.04,0.034893,32,2.9432,0.034893,845.47
Uds10x_HG006_408622-Z0116_0.,ug.sentdug,745.985,8229730.5600000005,0.543678,192,57.4585,0.543678,42863.18
Uds10x_HG006_408622-Z0116_0.,ug.sentdug.concat.fofn,0.3475,0.0,3e-06,1,0.0,3e-06,0.0
Uds10x_HG006_408622-Z0116_0.,ug.sentdug.concordance,2174.5087,31867.199999999997,0.792397,96,0.1527,0.792397,331.95
Uds10x_HG006_408622-Z0116_0.,ug.sentdug.merge,20.9949,3177.6,0.0051,64,2.3649,0.0051,49.65
Uds15x_HG006_408622-Z0116_0.,ug.alignstats,395.7019,36894.08,0.054501,32,2.9137,0.054501,1152.94
Uds15x_HG006_408622-Z0116_0.,ug.sentdug,1018.9121,9413418.24,0.742589,192,48.1182,0.742589,49028.22
Uds15x_HG006_408622-Z0116_0.,ug.sentdug.concat.fofn,0.3967,0.0,3e-06,1,0.0,3e-06,0.0
Uds15x_HG006_408622-Z0116_0.,ug.sentdug.concordance,2262.6218,38574.72,0.824506,96,0.1776,0.824506,401.82
Uds15x_HG006_408622-Z0116_0.,ug.sentdug.merge,23.2722,3201.92,0.005654,64,2.1498,0.005654,50.03
Uds20x_HG006_408622-Z0116_0.,ug.alignstats,507.1115,49634.88,0.069845,32,3.0587,0.069845,1551.09
Uds20x_HG006_408622-Z0116_0.,ug.sentdug,1375.4613,10425079.68,1.002444,192,39.4757,1.002444,54297.29
Uds20x_HG006_408622-Z0116_0.,ug.sentdug.concat.fofn,0.4033,0.0,3e-06,1,0.0,3e-06,0.0
Uds20x_HG006_408622-Z0116_0.,ug.sentdug.concordance,2279.9113,30396.48,0.830806,96,0.1389,0.830806,316.63
Uds20x_HG006_408622-Z0116_0.,ug.sentdug.merge,23.4059,3272.96,0.005686,64,2.1849,0.005686,51.14
Uds30x_HG006_408622-Z0116_0.,ug.alignstats,489.3787,47255.04,0.067697,32,3.0175,0.067697,1476.72
Uds30x_HG006_408622-Z0116_0.,ug.sentdug,1324.0559,10058117.76,1.090397,192,39.5648,1.090397,52386.03
Uds30x_HG006_408622-Z0116_0.,ug.sentdug.concat.fofn,0.3666,0.0,3e-06,1,0.0,3e-06,0.0
Uds30x_HG006_408622-Z0116_0.,ug.sentdug.concordance,2281.4586,30957.120000000003,0.946805,96,0.1413,0.946805,322.47
Uds30x_HG006_408622-Z0116_0.,ug.sentdug.merge,23.1498,3302.4,0.006405,64,2.229,0.006405,51.6
Uds40x_HG006_408622-Z0116_0.,ug.alignstats,1329.6059,99999.36,0.183781,32,2.3503,0.183781,3124.98
Uds40x_HG006_408622-Z0116_0.,ug.sentdug,2600.9977,10823834.879999999,2.157094,192,21.674,2.157094,56374.13999999999
Uds40x_HG006_408622-Z0116_0.,ug.sentdug.concat.fofn,0.4193,0.0,3e-06,1,0.0,3e-06,0.0
Uds40x_HG006_408622-Z0116_0.,ug.sentdug.concordance,2568.6544,39495.36,0.918437,96,0.1602,0.918437,411.41
Uds40x_HG006_408622-Z0116_0.,ug.sentdug.merge,24.3964,3379.2,0.005815,64,2.1642,0.005815,52.8
Uds5x_HG006_408622-Z0116_0.,ug.alignstats,144.4138,12808.32,0.01989,32,2.7716,0.01989,400.26
Uds5x_HG006_408622-Z0116_0.,ug.sentdug,416.1241,6499422.720000001,0.303274,192,81.3487,0.303274,33851.16
Uds5x_HG006_408622-Z0116_0.,ug.sentdug.concat.fofn,0.3546,0.0,3e-06,1,0.0,3e-06,0.0
Uds5x_HG006_408622-Z0116_0.,ug.sentdug.concordance,2023.6638,36200.64,0.737429,96,0.1863,0.737429,377.09
Uds5x_HG006_408622-Z0116_0.,ug.sentdug.merge,15.6591,613.76,0.003804,64,0.6124,0.003804,9.59
all.,alignstats_smmary_compile,77.57990000000001,0.38,0.001141,8,0.0259,0.00028525,0.0475
all.,alignstats_summary,4.8923,0.0,3.6e-05,4,0.0,9e-06,0.0
