Sample,Compute Cost (USD),S3 Cost (USD),FSx Cost (USD),Total Cost (USD)
HG001,3.3145026111111107,0.011046807545087448,0.0144088794066358,3.339958298062834
HG002,3.2710505444444444,0.010901987439562758,0.014219983616820987,3.296172515500828
