Name	X	Y
background: EAS	0.859	-0.907
background: EAS	0.91	-0.487
background: EAS	0.878	-0.795
background: EAS	1.242	-0.803
background: EAS	0.212	-1.535
background: AMR	0.743	0.96
background: AMR	0.487	1.44
background: AMR	0.017	1.269
background: EAS	1.08	-0.782
background: EAS	1.033	-1.557
background: EAS	0.705	-1.097
background: EAS	0.794	-2.526
background: EAS	0.255	-1.587
background: EAS	0.787	-0.287
background: EAS	1.097	-0.976
background: EAS	1.112	-0.763
background: EAS	1.181	-1.538
background: EAS	1.772	-1.522
background: EAS	1.098	-1.382
background: EAS	0.921	-1.287
background: EAS	1.348	-2.097
background: EAS	0.328	-0.401
background: EAS	0.894	-0.451
background: EAS	1.227	-2.66
background: EAS	2.052	-1.499
background: EAS	0.466	-0.102
background: EAS	1.569	-0.771
background: EAS	0.133	-1.038
background: EAS	0.234	-1.041
background: EAS	0.676	-0.726
background: EAS	-0.071	-2.009
background: EAS	1.02	-2.821
background: EAS	1.284	-1.017
background: EAS	1.274	-1.466
background: EAS	-0.061	-0.581
background: EAS	1.206	-0.469
background: EAS	0.666	-1.314
background: EAS	0.731	-1.213
background: EAS	1.152	-0.848
background: EAS	0.839	-0.444
background: EAS	0.272	-1.249
background: EAS	0.124	-1.275
background: EAS	1.126	-1.566
background: AMR	0.208	1.575
background: AMR	-0.049	0.02
background: AMR	0.239	1.888
background: AMR	0.035	0.748
background: EAS	1.305	-0.244
background: EAS	1.021	-1.541
background: EAS	0.878	-1.538
background: EAS	0.833	-1.91
background: EAS	0.753	-2.405
background: EAS	0.561	-1.492
background: EAS	1.58	-1.35
background: EAS	0.675	-1.63
background: EAS	1.073	-1.042
background: EAS	1.232	-1.495
background: EAS	0.389	-1.037
background: EAS	1.156	-0.943
background: EAS	1.299	0.997
background: EAS	0.733	-1.733
background: EAS	0.73	-0.133
background: EAS	0.505	-1.781
background: EAS	0.164	-0.778
background: EAS	0.698	-1.416
background: EAS	1.273	-1.087
background: EAS	1.446	-1.176
background: EAS	0.489	-2.371
background: EAS	1.042	-1.481
background: EAS	0.694	-0.898
background: EAS	0.938	-1.399
background: EAS	1.017	-0.842
background: EAS	1.244	-1.674
background: EAS	0.061	-1.004
background: EAS	-0.419	-0.493
background: AMR	0.034	1.907
background: AMR	0.796	1.147
background: AMR	0.177	1.833
background: AMR	0.071	0.437
background: AMR	1.131	0.831
background: AMR	0.486	0.082
background: AMR	0.741	1.229
background: AMR	1.15	1.219
background: AMR	1.153	1.636
background: EAS	0.37	-1.653
background: EAS	1.901	-1.476
background: EAS	1.686	-1.505
background: EAS	0.896	-2.494
background: EAS	0.178	-0.695
background: EAS	1.482	-0.826
background: EAS	0.204	-1.456
background: EAS	0.598	-2.46
background: EAS	0.792	-1.908
background: EAS	0.832	-0.131
background: EAS	0.607	-0.868
background: EAS	0.51	-1.506
background: EAS	0.891	-1.239
background: EAS	0.325	-1.018
background: EAS	0.92	-1.25
background: AMR	1.354	0.384
background: AMR	0.129	0.888
background: AMR	-0.338	0.095
background: AMR	1.473	0.964
background: AMR	-0.171	0.241
background: AMR	0.915	0.002
background: AMR	-0.283	1.856
background: AMR	0.573	0.33
background: AMR	-0.073	1.559
background: AMR	-0.873	-0.04
background: AMR	-0.794	0.098
background: AMR	-0.581	0.065
background: AMR	-0.056	1.089
background: AMR	0.758	0.356
background: AMR	0.892	0.569
background: AMR	0.664	0.863
background: AMR	0.451	2.124
background: AMR	0.265	1.574
background: AMR	0.378	0.13
background: AMR	0.18	1.11
background: AMR	0.636	-0.054
background: AMR	0.284	-0.017
background: AMR	1.273	0.244
background: AMR	0.121	0.56
background: AMR	0.407	0.028
background: AMR	0.133	1.215
background: AMR	0.051	1.731
background: AMR	0.855	-0.304
background: AMR	-0.195	-0.319
background: AMR	-0.381	0.701
background: AMR	-0.662	0.694
background: AMR	0.724	0.613
