Sample	Chromosome X	Chromosome Y
ONT1_ANA0-HG001_DBC0_0.md	32.08999999999999	1.3
ONT1_ANA0-HG002_DBC0_0.md	25.709999999999994	12.980000000000004
ONT1_ANA0-HG003_DBC0_0.md	20.759999999999998	10.650000000000002
ONT1_ANA0-HG004_DBC0_0.md	30.639999999999993	1.4100000000000001
ONT1_ANA0-HG005_DBC0_0.md	15.15	7.630000000000002
ONT1_ANA0-HG006_DBC0_0.md	14.710000000000003	7.370000000000001
ONT1_ANA0-HG007_DBC0_0.md	34.53	1.4600000000000002
ONT1_ANA1-HG001_DBC0_0.md	36.940000000000005	1.34
ONT1_ANA1-HG002_DBC0_0.md	23.849999999999998	11.940000000000003
ONT1_ANA1-HG003_DBC0_0.md	17.770000000000003	9.000000000000002
ONT1_ANA1-HG004_DBC0_0.md	36.980000000000004	1.4500000000000002
ONT1_ANA1-HG005_DBC0_0.md	16.000000000000004	8.170000000000002
ONT1_ANA1-HG006_DBC0_0.md	16.650000000000006	8.330000000000002
ONT1_ANA1-HG007_DBC0_0.md	33.96999999999999	1.4700000000000002
